market,year,visits,spend,nights
Brazil,2006,91.486316918,76.291986087,1353.64539066
Brazil,2007,108.885178967,94.1864503125,1388.16132121
Brazil,2008,150.894644205,109.036440747,1570.15476483
Brazil,2009,108.442686068,102.244583164,1386.39083435
Brazil,2010,149.18974625,117.717645854,1337.51715283
Brazil,2011,211.282784145,209.795152655,1615.22902427
Brazil,2012,215.207797515,182.897918158,1601.98982617
Brazil,2013,219.955471948,213.549876216,1605.26223407
Brazil,2014,255.997815108,197.803774247,2126.71991846
Brazil,2015,259.638746712,199.448467049,1975.56509433
Bulgaria,2008,44.320264249,19.486827893,686.649343675
Bulgaria,2009,55.70139277,43.179313567,378.256932789
Bulgaria,2010,49.265095859,25.716996622,356.386976218
Bulgaria,2011,52.615440126,39.165722978,708.426438176
Bulgaria,2012,53.871897102,26.882122459,598.593613059
Bulgaria,2013,55.159902929,27.925706233,318.235774509
Bulgaria,2014,71.739023285,50.656288605,972.524412222
Bulgaria,2015,70.269849718,28.647519525,471.01633546
Canada,2002,358.334336168,146.692507799,2092.6454035
Canada,2003,317.240284095,133.876439609,1892.85204754
Canada,2004,368.865334028,209.167970406,2281.89827774
Canada,2005,399.203653401,180.326762417,2058.9804013
Canada,2006,439.541143005,221.96885904,2592.3258956
Canada,2007,478.147525676,257.444068823,2594.10871569
Canada,2008,499.691436728,256.579030633,2787.08411475
Canada,2009,371.213649843,192.835134245,2238.87426732
Canada,2010,389.452477611,242.394495514,2605.71282083
Canada,2011,428.770805489,265.490604322,2475.055562
Canada,2012,402.856259223,270.876031292,2423.05703053
Canada,2013,434.479241265,269.5711594,2502.8561085
Canada,2014,359.187932734,227.507734737,2251.40076825
Canada,2015,407.532041724,241.403287418,2188.39777829
Chile,2011,18.697606743,18.752824976,122.116444342
Chile,2012,16.651711197,11.102989643,73.066465793
Chile,2013,28.9869419,25.362873876,132.429847893
Chile,2014,38.009156614,18.65851898,190.586687594
Chile,2015,31.62692532,13.259613354,133.797346029
China,2002,39.520290702,32.395248528,289.76100013
China,2003,42.630867945,28.439456206,305.786561929
China,2004,61.00658491,41.097042528,598.737879826
China,2005,58.081053897,53.083822127,585.732147787
China,2006,64.771069883,48.953070168,488.12371757
China,2007,79.168682084,61.300676602,540.877433742
China,2008,60.107489675,67.628797662,518.450019402
China,2009,46.699951595,55.686572241,393.821978646
China,2010,55.352449081,87.744919575,780.519113751
China,2011,80.626072512,88.885081499,576.661776622
China,2012,104.125517014,142.129450276,1005.05892812
China,2013,96.425143629,186.909251803,813.365821206
China,2014,98.879508137,148.724492944,860.395200622
China,2015,167.073829654,310.434142587,1460.95855747
Czech Republic,2002,63.630266074,18.124885066,647.555059911
Czech Republic,2003,79.656266543,34.08094986,526.501910946
Czech Republic,2004,126.103420045,31.04149667,624.306510423
Czech Republic,2005,106.915724172,38.292817015,598.334642344
Czech Republic,2006,112.030878336,37.491068173,974.186147113
Czech Republic,2007,134.118388508,39.696932652,842.633383358
Czech Republic,2008,169.695025949,44.290377967,761.604650763
Czech Republic,2009,144.812957886,50.946143035,805.949630672
Czech Republic,2010,109.73616491,40.471442249,545.46230373
Czech Republic,2011,108.749555941,40.407085219,650.560656102
Czech Republic,2012,144.625346842,47.262660929,723.720856625
Czech Republic,2013,136.474250497,52.129824303,865.115622444
Czech Republic,2014,134.691170811,46.803715843,744.698752654
Czech Republic,2015,166.255916274,57.635723285,1375.33825911
Denmark,2002,191.428620819,73.230581086,888.109378564
Denmark,2003,209.833470412,83.793328129,910.978596278
Denmark,2004,238.120456988,101.603871775,984.365009353
Denmark,2005,286.685698318,114.712083605,1417.65365047
Denmark,2006,291.332003564,117.802029601,1128.08308994
Denmark,2007,312.299082285,143.517842565,1264.55470906
Denmark,2008,298.390928044,137.215702929,1080.30016295
Denmark,2009,332.161131937,165.888076006,1247.62538644
Denmark,2010,273.764614333,142.284063078,1055.61407199
Denmark,2011,340.237900042,159.898891254,1416.27660029
Denmark,2012,325.727032146,183.035994913,1427.39189804
Denmark,2013,378.453464146,196.703115628,1438.54253088
Denmark,2014,339.443922328,162.635510594,1159.47098444
Denmark,2015,422.733418098,195.118102513,1602.7319163
Egypt,2002,19.676177787,27.000527512,264.55557251
Egypt,2003,25.033167229,26.917891471,215.943430984
Egypt,2004,21.556451097,26.443089104,224.245886783
Egypt,2005,19.483566181,25.114164959,282.746324563
Egypt,2006,33.632623029,32.461627943,334.789551406
Egypt,2007,21.840031042,66.93133939,194.577551953
Egypt,2008,31.642433169,37.095098582,326.748178128
Egypt,2009,30.472555996,48.219691467,302.240810364
Egypt,2010,31.046822862,48.146625123,327.232166516
Egypt,2011,29.872413916,46.475888207,229.343015653
Egypt,2012,35.044817822,45.895029098,317.979876194
Egypt,2013,39.11707574,59.109056943,316.721222035
Egypt,2014,39.884898692,113.154669836,333.071211715
Egypt,2015,38.139182987,63.164691552,413.873455596
Finland,2002,66.278738992,27.252596338,489.610155317
Finland,2003,59.292796864,26.551188494,300.802306298
Finland,2004,78.123355824,35.088571,395.911496486
Finland,2005,97.466170195,37.293169078,415.165467073
Finland,2006,102.584148766,42.74871592,520.408219267
Finland,2007,99.402503626,37.886145819,403.681489656
Finland,2008,94.937135783,46.799970425,411.056285513
Finland,2009,94.386108717,48.551683546,350.38430519
Finland,2010,103.600015147,52.27141949,439.289051019
Finland,2011,124.474146852,73.260406921,611.551601913
Finland,2012,130.734270165,73.74591821,598.365358551
Finland,2013,134.207573715,72.694133781,774.743142678
Finland,2014,159.439352287,77.601150271,817.48236438
Finland,2015,160.692837382,86.533263299,737.403957346
France,2002,1102.86331086,295.981663927,4475.59590756
France,2003,1190.87091954,332.440341859,5136.39101728
France,2004,1258.11961828,322.441295918,5809.97163752
France,2005,1367.34791587,356.535957036,5887.15452019
France,2006,1447.54987594,431.044224364,7322.97767459
France,2007,1342.35349873,406.425294945,6524.12479453
France,2008,1409.85547644,444.913523203,6580.45886983
France,2009,1528.24792916,472.277169665,6395.83402126
France,2010,1624.25306658,543.701435379,6639.45964504
France,2011,1600.46908383,530.169305415,6603.58987167
France,2012,1681.27086053,744.902574265,7130.27349372
France,2013,1903.98215595,689.083870339,7596.61461811
France,2014,2009.97687487,788.980562726,8688.80929097
France,2015,2071.39706989,762.827963764,8875.64999854
Germany,2002,889.434648778,275.305061879,3954.55002864
Germany,2003,891.72890752,290.45432064,4475.30839822
Germany,2004,1172.91922443,337.500577387,4886.74745113
Germany,2005,1280.9184801,393.918226392,5757.87988352
Germany,2006,1274.71849913,405.35360499,5607.84738102
Germany,2007,1196.57597702,391.923542151,4732.04002336
Germany,2008,1052.3987693,418.220754961,4665.03413824
Germany,2009,1068.93234147,353.454100108,4216.8715257
Germany,2010,1257.36818745,465.004158586,5735.98223303
Germany,2011,1214.47225363,480.410003776,5691.38663205
Germany,2012,1199.06053678,483.278221793,5060.67285336
Germany,2013,1295.26190273,540.032959313,5705.16550437
Germany,2014,1341.07339455,621.917753208,6306.5244665
Germany,2015,1401.21940243,549.293358611,6021.87282052
Greece,2002,97.846777886,76.651487649,694.823315928
Greece,2003,96.6311502,81.463514129,648.140626772
Greece,2004,109.766340346,74.858295247,767.220914709
Greece,2005,111.776234448,71.014222829,685.564823399
Greece,2006,102.487967591,73.65907245,619.71586894
Greece,2007,99.552077891,109.216601143,498.079964491
Greece,2008,124.447059153,104.676874043,946.236021029
Greece,2009,116.932060426,88.34490051,609.169047675
Greece,2010,104.547194077,81.633019195,735.416632658
Greece,2011,134.377277844,97.997771712,893.159967408
Greece,2012,92.300163656,65.622292291,618.92331624
Greece,2013,110.832369593,96.538435865,780.380691832
Greece,2014,155.354991728,90.519957858,1084.44625938
Greece,2015,147.76058228,115.356198192,1289.5461892
Hong Kong S.A.R.,2002,96.096161129,74.6278217,600.692782531
Hong Kong S.A.R.,2003,78.753786062,60.363391912,488.801476424
Hong Kong S.A.R.,2004,82.86582171,63.83157721,475.570103476
Hong Kong S.A.R.,2005,88.943741814,76.008136671,482.035085505
Hong Kong S.A.R.,2006,96.550382946,64.286533643,502.603196168
Hong Kong S.A.R.,2007,85.092973074,74.346337669,512.642771759
Hong Kong S.A.R.,2008,84.474332898,76.861935429,553.198466136
Hong Kong S.A.R.,2009,86.691656749,67.239322992,566.062141676
Hong Kong S.A.R.,2010,84.37004225,84.669895332,564.998661024
Hong Kong S.A.R.,2011,97.925671338,104.035139629,766.241896132
Hong Kong S.A.R.,2012,92.730198745,90.885077907,618.190408606
Hong Kong S.A.R.,2013,99.483665199,137.463458997,688.760665577
Hong Kong S.A.R.,2014,107.488126599,137.696732506,844.131107007
Hong Kong S.A.R.,2015,134.414885638,162.82594267,977.508935473
Hungary,2002,43.683604776,12.465778708,243.375792714
Hungary,2003,45.148987086,20.826898276,1022.26023147
Hungary,2004,83.478904787,30.080885789,757.548369123
Hungary,2005,120.898381064,55.126186507,1162.03545516
Hungary,2006,119.511893779,38.229633189,981.806397203
Hungary,2007,149.114814963,62.562022674,786.42577637
Hungary,2008,108.247728972,32.425660938,660.794225703
Hungary,2009,102.422103076,51.366306447,875.325676956
Hungary,2010,75.62250823,22.938587904,367.044010089
Hungary,2011,80.749654089,47.528834229,920.140145141
Hungary,2012,104.921369564,42.981733621,739.839983038
Hungary,2013,88.179874986,36.185628922,734.952662867
Hungary,2014,115.565012914,31.272847336,822.228380964
Hungary,2015,95.239152401,26.161197629,452.517685132
Iceland,2002,20.138197988,14.510025014,298.042298817
Iceland,2003,23.700039997,14.562842882,90.905252314
Iceland,2004,49.795671463,23.944536947,186.825495925
Iceland,2005,42.968266815,19.116681039,149.022221202
Iceland,2006,46.665953189,32.338861291,144.404175369
Iceland,2007,46.103127715,27.729764346,170.490204369
Iceland,2008,32.328583897,16.96207762,79.353152043
Iceland,2009,23.710144104,15.431581842,108.046044703
Iceland,2010,19.937233922,9.366075468,77.831399918
Iceland,2011,24.46911308,14.343098987,105.349133413
Iceland,2012,25.399086513,14.947920417,95.771897912
Iceland,2013,28.956171185,12.581015017,116.211491973
Iceland,2014,28.497370123,12.890991526,101.910896594
Iceland,2015,26.062992604,16.232404047,109.351220577
India,2002,135.2455692,81.229963539,2140.02408107
India,2003,130.368243308,77.740725685,2062.97096751
India,2004,160.283381715,106.54016991,2566.64660312
India,2005,166.028632103,107.134315423,2721.20122332
India,2006,229.563927901,151.547238827,3321.45105709
India,2007,219.690350857,157.855232681,3918.09941862
India,2008,241.642909449,148.765170042,2874.69318378
India,2009,177.912951888,133.017652375,2662.38853421
India,2010,235.926606822,213.40026073,4020.97630165
India,2011,235.270438442,166.784586424,3579.06416056
India,2012,231.530003438,176.664233814,3436.84405161
India,2013,243.577920193,224.461614803,3941.47522771
India,2014,252.319172779,240.230134923,3508.62132022
India,2015,275.745304803,203.382041776,3769.26950128
Indonesia,2011,19.232790185,18.729922345,183.531875752
Indonesia,2012,18.511527148,19.235060952,116.969855419
Indonesia,2013,17.862094969,33.506933924,125.295827836
Indonesia,2014,22.100618512,22.907434531,126.9222005
Indonesia,2015,24.770477862,30.610188533,190.141914008
Ireland,2002,628.87316278,201.491079658,2436.68650835
Ireland,2003,623.551949644,173.169436708,2301.06355878
Ireland,2004,682.793252892,218.00489741,2702.13084517
Ireland,2005,726.536117353,250.073288958,2880.69524173
Ireland,2006,718.41196907,233.22461785,2663.93642106
Ireland,2007,732.273407233,243.696641789,2549.26324966
Ireland,2008,736.149258673,244.7702125,2600.47861619
Ireland,2009,690.420430604,238.039399401,2120.89782818
Ireland,2010,656.638842603,256.646089901,2434.32069102
Ireland,2011,620.318850911,230.235788105,2686.05846959
Ireland,2012,595.940047533,225.273807412,2562.88115565
Ireland,2013,610.624598379,228.63720236,2378.53827822
Ireland,2014,620.292018401,251.293152892,2419.08863641
Ireland,2015,793.230451092,285.752557148,2900.18570725
Israel,2002,152.707565459,79.544885353,911.669105782
Israel,2003,122.673849154,57.460759767,782.028457666
Israel,2004,127.445260059,54.767918901,859.605029188
Israel,2005,106.940677091,55.752071849,807.887502113
Israel,2006,138.398791702,71.650826748,964.260289855
Israel,2007,102.699348314,71.436141243,581.796104064
Israel,2008,125.663918139,64.330363929,740.131740815
Israel,2009,124.930476672,92.427163848,727.64505674
Israel,2010,122.84391089,72.277361784,779.509974735
Israel,2011,120.505570128,67.997540179,745.226726979
Israel,2012,108.20603365,70.476019428,634.508470399
Israel,2013,140.963267149,88.99426077,762.642828293
Israel,2014,147.578702305,88.539134457,936.442431385
Israel,2015,164.652568704,224.553538531,1000.15589386
Italy,2002,541.596296626,199.042412987,3400.50441743
Italy,2003,601.414401465,292.877784674,3957.11604912
Italy,2004,765.362094092,292.790685121,5234.56246525
Italy,2005,643.726423381,281.15221145,3490.90632395
Italy,2006,851.175278407,379.966785874,5122.62013925
Italy,2007,837.74345064,359.982884342,5028.5967351
Italy,2008,981.044688346,475.83381634,5346.81414523
Italy,2009,747.639986905,360.481410781,4471.74653129
Italy,2010,932.242943809,437.122886339,5392.13967267
Italy,2011,1009.29021802,544.041148864,5288.99463139
Italy,2012,962.807205067,453.162828168,5336.89953453
Italy,2013,1072.18071784,504.420096402,5951.92981631
Italy,2014,1185.74823577,637.913375358,8484.09557077
Italy,2015,1165.08363105,535.571811858,6536.51001121
Japan,2002,294.470769653,176.091895113,1983.6845984
Japan,2003,232.529126021,145.663303639,1427.51316028
Japan,2004,264.993393358,145.635860265,1680.48096487
Japan,2005,242.928388792,165.5230634,1840.91635146
Japan,2006,245.202310342,134.070288849,1528.91898534
Japan,2007,220.056651044,134.684054724,1271.81769451
Japan,2008,167.837907073,102.290747527,950.565354944
Japan,2009,180.451489276,227.445664489,1578.05852233
Japan,2010,168.205166511,117.744828932,1051.27517744
Japan,2011,166.35645556,110.750889517,900.930832109
Japan,2012,177.854013144,181.772683119,1821.50509273
Japan,2013,155.349278417,135.588357499,1186.03282437
Japan,2014,157.478226994,162.708562874,857.46266806
Japan,2015,151.399137515,135.355034941,1027.48627716
Kenya,2002,31.58049698,48.521780691,580.357282367
Kenya,2003,19.836604095,21.872587551,431.220268475
Kenya,2004,22.092889158,19.004897421,363.454598483
Kenya,2005,16.468625933,13.643074449,237.616694385
Kenya,2006,15.9477102,14.068192986,266.934358443
Kenya,2007,12.670248942,6.569855984,92.721741267
Kenya,2008,24.644500956,28.656424308,400.362795948
Kenya,2009,14.897177068,17.993153066,229.29687344
Kenya,2010,18.549059943,21.819105994,169.019827287
Kenya,2011,17.843812079,15.811756373,210.770678504
Kenya,2012,20.771585137,28.150980093,243.83630665
Kenya,2013,22.347663999,17.586168841,301.171662863
Kenya,2014,12.465435057,21.348214334,194.265140356
Kenya,2015,22.400750873,21.416291443,391.171681354
Kuwait,2002,31.059023976,62.259014763,465.491328578
Kuwait,2003,36.172743831,72.594121291,623.823091095
Kuwait,2004,32.452613876,51.219271103,657.996494756
Kuwait,2005,33.815372247,77.548559407,460.665282809
Kuwait,2006,43.648717116,84.54785799,602.577890437
Kuwait,2007,46.689408015,158.543782974,808.30957073
Kuwait,2008,35.422521858,87.547954395,485.83474344
Kuwait,2009,48.981363492,106.648906553,734.609759215
Kuwait,2010,41.936100047,75.164518971,511.667101714
Kuwait,2011,52.781241207,156.243170369,747.546470117
Kuwait,2012,50.478253754,247.996315524,707.691262222
Kuwait,2013,105.689057952,441.027663926,1302.54286867
Kuwait,2014,84.274896293,405.202597196,1682.75271323
Kuwait,2015,83.367399367,260.182543985,1219.17166302
Luxembourg,2002,23.933049037,7.964432107,75.376758563
Luxembourg,2003,16.853040887,4.627072073,36.566882656
Luxembourg,2004,38.373454112,14.095235976,146.650610218
Luxembourg,2005,25.894775986,11.345872013,96.370990908
Luxembourg,2006,28.203738065,11.604422269,70.480262157
Luxembourg,2007,31.687745869,10.426364229,94.461734683
Luxembourg,2008,34.968839024,18.183148155,184.809839967
Luxembourg,2009,27.883183557,10.397154464,62.496860013
Luxembourg,2010,26.796334176,8.203654872,88.504338456
Luxembourg,2011,39.955056098,13.942970716,181.540470812
Luxembourg,2012,40.060612677,17.378149975,115.156021061
Luxembourg,2013,51.212061613,27.916001038,160.099354502
Luxembourg,2014,56.097075656,27.495210717,168.321194593
Luxembourg,2015,78.103773057,45.989562767,266.848338474
Malaysia,2002,60.489580401,36.273494484,581.614992067
Malaysia,2003,46.671644109,35.431856297,372.97743036
Malaysia,2004,65.029698134,39.482846424,439.574001804
Malaysia,2005,52.811654209,44.911311194,410.059850939
Malaysia,2006,52.731740159,44.717164113,632.558814791
Malaysia,2007,46.977626995,43.257650287,362.905389377
Malaysia,2008,45.606669154,31.348802829,443.244665288
Malaysia,2009,77.888682098,95.152684338,1262.7863285
Malaysia,2010,89.840815901,80.045947439,581.51643887
Malaysia,2011,82.473542527,63.425630273,658.450495637
Malaysia,2012,72.020530429,74.207899603,637.851496765
Malaysia,2013,113.369886238,106.429103107,1032.48357581
Malaysia,2014,109.536848217,96.253918531,807.420703855
Malaysia,2015,126.019232076,102.173075671,899.035522277
Mexico,2002,53.038406775,27.046252038,363.643978618
Mexico,2003,57.868399022,21.979233964,281.217875983
Mexico,2004,52.161828796,78.860210862,2283.93822382
Mexico,2005,54.978638791,27.477377478,418.891732782
Mexico,2006,69.46794288,50.307291926,562.507128345
Mexico,2007,38.147950919,24.544705236,347.515995974
Mexico,2008,50.400364814,29.23231851,322.731916174
Mexico,2009,60.741047926,36.648947146,428.152174179
Mexico,2010,51.855554385,213.315860684,223.870932739
Mexico,2011,62.158638969,38.922425661,419.672700782
Mexico,2012,69.80439256,28.551172702,363.067339123
Mexico,2013,91.442435235,48.834694843,569.634555296
Mexico,2014,72.790233951,47.619644586,434.255525643
Mexico,2015,82.209436002,41.751434744,439.918890427
Netherlands,2002,492.361354336,155.645332178,2299.55558838
Netherlands,2003,619.204837056,222.209585439,2439.91896748
Netherlands,2004,578.316150527,177.123476049,1936.3944979
Netherlands,2005,606.717000315,187.693785844,2029.88951575
Netherlands,2006,659.76702364,188.014216983,2057.56158767
Netherlands,2007,665.328416209,208.598655598,1980.83998395
Netherlands,2008,654.148838244,217.890448083,2111.05172492
Netherlands,2009,683.86947586,252.644542021,2409.77136133
Netherlands,2010,621.170322925,264.18876822,2238.45642736
Netherlands,2011,631.23411574,241.482617917,2411.96713529
Netherlands,2012,637.930629298,252.006503807,2440.84989798
Netherlands,2013,686.710988132,269.498082004,2470.47749963
Netherlands,2014,705.18628612,300.258991725,2298.42871814
Netherlands,2015,690.48509869,275.573840519,2341.25631046
New Zealand,2002,82.672175795,34.240505739,755.153884829
New Zealand,2003,100.542815802,38.475843963,903.512382253
New Zealand,2004,101.896097228,49.485394303,822.766950573
New Zealand,2005,121.742069976,60.439415509,1247.68676986
New Zealand,2006,124.546996139,70.129536655,1063.45923302
New Zealand,2007,119.742466217,83.33399242,1086.08324264
New Zealand,2008,103.127243013,51.248873996,1073.26985496
New Zealand,2009,108.81879197,74.601964211,977.557522541
New Zealand,2010,111.301523178,62.732991291,810.468956633
New Zealand,2011,95.538711549,66.579654776,875.213959877
New Zealand,2012,104.540870009,69.524206957,893.896198335
New Zealand,2013,93.70729328,48.781041502,669.684533767
New Zealand,2014,106.606376708,78.432176735,1088.17733443
New Zealand,2015,118.41910725,90.629376913,1213.26031573
Nigeria,2002,93.006873726,145.218424078,1379.21971509
Nigeria,2003,85.612025783,108.361217065,1371.53405171
Nigeria,2004,120.64473516,144.519342267,1760.54209426
Nigeria,2005,119.830542859,154.40631469,2653.86346167
Nigeria,2006,118.350131704,170.873395016,2198.47501338
Nigeria,2007,125.048341018,143.507304527,2282.52376323
Nigeria,2008,113.607711358,183.364085036,1715.40241905
Nigeria,2009,116.506480483,151.657939013,1464.24291586
Nigeria,2010,124.566580578,202.319694833,1659.93697366
Nigeria,2011,106.090201676,162.048351092,1451.58246589
Nigeria,2012,109.897160794,176.095605667,1402.93425865
Nigeria,2013,120.674999088,179.84301905,1270.88730313
Nigeria,2014,95.805418072,166.015920495,1238.20267953
Nigeria,2015,89.781191708,123.297504313,1740.32683112
Norway,2002,178.391173858,81.479776634,768.808869253
Norway,2003,182.015397697,77.108416959,665.79632919
Norway,2004,218.042984697,115.822571481,817.891046752
Norway,2005,265.90286889,122.857800834,1065.12753586
Norway,2006,302.19125942,144.791463583,1106.11277364
Norway,2007,306.600373016,160.616305464,1164.71111365
Norway,2008,337.616037783,215.92419856,1240.10824423
Norway,2009,324.079936144,191.62270927,1192.1322485
Norway,2010,372.106886018,204.274739973,1304.71607482
Norway,2011,382.144642293,237.050687274,1500.84855718
Norway,2012,396.797842111,235.689349096,1364.69354972
Norway,2013,480.109934232,301.655102525,2009.71868907
Norway,2014,471.936939652,307.342728743,1719.53188848
Norway,2015,434.629713202,241.40746914,1645.84637744
Oman,2011,8.083898006,11.138113834,129.47263419
Oman,2012,8.475467951,9.882687211,59.206122428
Oman,2013,12.137767049,85.5399365,127.755179491
Oman,2014,9.607254713,10.235126762,80.915359052
Oman,2015,14.259101365,19.68378019,97.175172275
Pakistan,2002,43.017465784,39.027289465,633.353589618
Pakistan,2003,35.563234237,27.204590749,687.981128863
Pakistan,2004,49.235691172,48.981200859,1176.21183562
Pakistan,2005,58.265575066,52.962719316,1373.48744669
Pakistan,2006,66.121777165,68.376152006,1438.88319954
Pakistan,2007,55.53223288,67.546660364,1099.18255037
Pakistan,2008,47.742180077,45.200413179,1107.95988778
Pakistan,2009,38.376398948,40.549927299,813.705558511
Pakistan,2010,32.486232878,30.500957382,628.204151303
Pakistan,2011,31.407247062,54.513331431,909.610453507
Pakistan,2012,40.592528316,44.588863248,802.76300989
Pakistan,2013,39.727047144,77.319594329,649.96592038
Pakistan,2014,49.005519208,42.629322553,867.771879451
Pakistan,2015,35.145472198,41.794113644,622.825188626
Poland,2002,115.330063358,48.227597441,2762.66254528
Poland,2003,167.22525453,67.784051365,4811.05850061
Poland,2004,277.796814197,148.152278799,6400.65759607
Poland,2005,425.190471091,163.762872117,8529.01836499
Poland,2006,528.204189355,277.686564427,7841.54305758
Poland,2007,432.714744,174.78710482,4791.26825225
Poland,2008,451.259513744,198.163330709,5422.20871425
Poland,2009,359.55149619,146.507678942,3670.90855269
Poland,2010,355.729288338,159.96353584,3954.35642058
Poland,2011,353.732700054,140.07991852,3083.34204245
Poland,2012,396.219619372,135.032679181,3663.24848447
Poland,2013,419.227723117,174.993578681,3054.52446295
Poland,2014,446.49400552,141.704074925,3298.31642492
Poland,2015,531.353701889,167.371915413,4074.11740214
Portugal,2002,97.801483599,49.1498293,582.096827868
Portugal,2003,97.46053818,38.543992993,434.355494029
Portugal,2004,96.982153379,41.404241126,631.948027567
Portugal,2005,113.63602124,65.71891986,763.905688968
Portugal,2006,120.754423854,41.846149835,488.428296605
Portugal,2007,144.055465882,66.377346458,729.044000116
Portugal,2008,133.780615654,68.830358038,712.777204166
Portugal,2009,136.706512476,66.000506166,645.279439583
Portugal,2010,172.387961782,74.792632782,1115.22100333
Portugal,2011,165.590969369,76.50650857,817.798393102
Portugal,2012,152.953654512,80.652516897,1157.74229354
Portugal,2013,137.999037501,61.194138947,819.240307467
Portugal,2014,191.279089575,86.01858215,1328.81695476
Portugal,2015,222.978525757,99.824994105,1203.82395386
Qatar,2011,24.602314903,63.465727339,253.390421929
Qatar,2012,31.665262997,68.936601439,253.811940221
Qatar,2013,43.604431864,155.683149783,413.58602141
Qatar,2014,32.847070363,100.060774375,293.235496599
Qatar,2015,41.836869585,104.117327241,356.63441715
Republic of Serbia,2011,18.796171904,16.691929599,118.346614307
Republic of Serbia,2012,17.821087,16.566473307,245.369890685
Republic of Serbia,2013,16.262249113,8.929905607,122.411679146
Republic of Serbia,2014,12.519155802,8.452065365,69.746522723
Republic of Serbia,2015,16.909916253,9.853377929,222.233502028
Romania,2008,101.059056547,44.863480285,1195.40409143
Romania,2009,107.840485722,51.921443467,1403.11303964
Romania,2010,121.934340507,71.657162956,1554.48503395
Romania,2011,127.93483901,67.397828171,1385.86519484
Romania,2012,109.833407299,57.409980696,1457.77063481
Romania,2013,158.621421161,100.35604197,1771.79377014
Romania,2014,170.453668545,99.096964208,2382.22260492
Romania,2015,237.738125816,121.750549413,2946.06945758
Russia,2002,143.199269516,119.324379814,943.871484777
Russia,2003,160.122495709,166.535587544,1957.89273625
Russia,2004,193.370773468,189.093143905,3216.8255833
Russia,2005,133.19067581,105.112985288,951.628934359
Russia,2006,159.587758473,126.47369651,1165.79694932
